"year","acousticness","danceability","energy","instrumentalness","liveness","loudness","mode","speechiness","valence","popularity","genre","duration_min","duration_sec"
2014,4.22,77.3,75.8,0,30.5,-4.993,"major",3.81,92.5,84,"pop",3,45
1991,1.19,35,65.1,15.6,8.74,-9.829,"major",4.2,31,52,"other",5,7
1979,7.78,81,51.1,0.0226,7.14,-6.454,"major",4.09,85.8,63,"rock",4,26
1995,5.1,50.7,91.5,0.0495,29.1,-4.579,"major",9.53,61,52,"rock",3,32
1972,36.4,55.5,56.8,0.167,11.6,-12.205,"minor",3.41,58.3,62,"rock",4,11
1980,13.9,80.3,52.1,0.899,8.1,-7.775,"major",2.76,96.9,61,"rock",3,41
2020,21.2,54.8,80.5,0.0389,40.8,-5.732,"major",35.1,64.8,82,"rap",3,36
2020,25.2,73.9,61.6,0.000193,10.1,-6.963,"minor",3.38,65.4,68,"rap",2,38
2004,17.8,67.1,75.5,0.00264,6.75,-5.274,"major",2.52,36.2,57,"classic",4,4
2005,22.2,63.6,62.5,0.00535,11.9,-7.895,"major",2.77,34.2,66,"pop",4,9
2005,2.97,74,78.3,0.0308,12.3,-5.367,"major",4.27,81.2,78,"pop",3,33
1961,60.7,75.8,55.7,0.0218,19.3,-10.106,"major",4.53,88.7,40,"soul",2,26
1962,69.4,73.4,41.8,0,35,-11.597,"major",5.15,96.1,24,"soul",2,13
1961,75.3,71.4,54.4,0.00764,5.51,-15.721,"major",3.6,97.3,27,"other",2,12
1958,38.5,64.5,94.3,0,37,-1.526,"major",3.93,96.5,60,"other",2,12
1960,72.3,52.1,51.6,0,25.7,-7.456,"minor",3.69,56.9,71,"other",2,52
1960,69.8,62.6,86.8,0.0119,15.3,-2.831,"major",6.91,93.5,17,"other",2,5
1960,86.3,43.6,24.8,1.63,35.8,-17.738,"major",3.5,55.5,22,"other",2,11
1964,87.1,35.4,26.7,6.39,11.8,-12.934,"major",3.07,25.7,3,"other",2,42
1959,76,54.9,52.9,0,20.6,-12.291,"minor",10.8,46.4,62,"other",3,4
1963,76.9,59.2,29.3,0,11.5,-16.494,"major",3.14,79.4,1,"other",2,26
2020,8.49,78.7,71.3,0,71.7,-5.252,"major",40.1,76.1,76,"hip",2,29
1991,10.2,72.3,49.8,2.78,3.05,-10.53,"major",3.19,71.2,52,"other",5,49
1959,87.3,24.7,22.1,0.000112,19.2,-15.103,"major",3.22,39.7,27,"other",2,47
2006,4.04,83.1,79,0,12.2,-1.578,"minor",3.9,93.7,40,"pop",3,55
1987,70.4,53.9,20.9,0,9.22,-16.902,"major",2.97,25.9,46,"classic",4,19
1992,11.4,66.6,52.1,0,6.04,-10.993,"major",2.92,36.1,59,"classic",3,42
1989,4.15,68.1,74.9,0.00127,10.3,-10.861,"minor",3.61,93.5,17,"other",4,12
1978,9.7,57.7,49.9,0.00643,6.98,-11.421,"minor",3.52,65.7,24,"rock",6,26
1978,5.99,64.6,60.2,0.0017,9.56,-10.238,"minor",7.58,54.3,71,"rock",4,16
2016,1.69,62.6,70.7,0,7.72,-5.755,"minor",4.25,65.3,61,"country",3,8
2020,2.48,56.6,76.5,0,7.83,-6.337,"major",4.39,60.4,61,"country",3,16
1978,29.7,78.2,87.4,0.327,57.2,-6.651,"minor",7.59,82.6,44,"soul",8,6
1984,1.76,79.5,73.2,0.0784,49.9,-10.487,"major",5.62,87.4,25,"soul",4,10
1981,11.4,70.6,72.7,0.0077,17.4,-8.714,"major",4.56,96.5,66,"soul",4,8
1984,15.1,51.9,51.2,0,9.82,-8.019,"major",2.61,41,17,"soul",5,3
1980,0.696,44,67.4,0.00304,21.1,-11.249,"major",3.05,72.2,20,"country",3,13
1973,74.5,55.7,55,0.035,12.2,-11.558,"major",3.77,86.6,20,"soul",2,40
1969,85.9,58.2,28,11.2,9.2,-13.936,"major",2.89,57,25,"soul",2,34
1972,24.8,43.8,83.7,0.00973,13.5,-6.416,"minor",8.74,61.6,46,"rock",2,38
1994,30,43.8,60.6,0.000449,7.54,-6.549,"major",3.05,26.6,74,"rock",4,1
1983,0.333,48.8,95.9,7.67,2.5,-5.575,"major",7.58,67,50,"rock",4,14
1984,0.333,48.8,95.9,7.67,2.5,-5.575,"major",7.58,67,50,"rock",4,14
1984,0.062,55,89.7,6.56,6.21,-6.927,"major",3.95,56.2,37,"rock",4,14
1991,32.9,79.4,61.3,0.000267,7.64,-8.711,"major",2.95,82.3,51,"pop",4,4
2021,2.97,77.6,80.8,0.0127,10.3,-4.501,"major",11.7,49.4,74,"pop",3,4
1994,4.76,70.3,81.7,0,38.1,-7.176,"minor",4.4,88,30,"pop",4,16
1989,11.4,54,64,0.0685,24.5,-8.557,"major",2.51,52.3,58,"pop",5,18
1994,66.1,44.1,25.8,0,10.6,-11.227,"major",2.76,17.2,68,"pop",3,35
1994,66.1,44.1,25.8,0,10.6,-11.227,"major",2.76,17.2,69,"pop",3,35
1988,12,58.2,46.7,0,29.8,-12.597,"major",3.91,87.9,60,"pop",4,31
1992,17.5,67.6,58.2,0.396,6.72,-10.345,"minor",2.58,64.8,64,"pop",5,17
2005,1.43,78.4,54.3,4.14,8.19,-5.668,"minor",5.14,72.9,0,"other",4,5
1968,0.222,46.2,42.8,75,22.1,-10.537,"major",3.33,42.1,0,"other",3,20
2006,0.272,91.2,49.2,0.0168,10.8,-7.439,"minor",5.38,59,0,"other",4,11
2011,9.87,61.4,85.7,0,17.7,-4.171,"minor",11.1,67.7,64,"pop",3,21
1988,21.2,81,61.9,0.0242,26.1,-12.61,"minor",2.87,93.9,46,"pop",3,41
1989,1.3,65.8,89.5,0.0143,33.7,-8.177,"major",5.8,90.3,52,"pop",3,19
1988,11.5,72.1,93.9,0.00379,10.8,-11.823,"major",3.76,91.4,81,"pop",3,34
1974,53.2,66.6,61.5,0.518,11.4,-10.66,"minor",6.05,86,22,"classic",3,52
1984,15.1,51.9,51.2,0,9.82,-8.019,"major",2.61,41,17,"classic",5,3
1983,47.7,55.7,57.8,0,28.5,-6.208,"minor",3.37,29,3,"classic",3,35
1987,23.6,81.3,34.2,0,4.95,-16.599,"minor",5.1,93,12,"classic",4,23
1977,76.6,30,41.1,0,32.9,-11.498,"major",3.42,62.9,19,"classic",2,58
2018,3.05,90.4,51.8,0,32.5,-5.32,"major",18.3,18.8,71,"hip",5,3
2014,6.68,96.4,60.5,0.000778,21.4,-6.223,"major",17.9,64.6,68,"hip",4,20
2012,27.1,72.3,86,0.000456,59.8,-4.357,"major",20.3,66.7,82,"hip",3,20
2014,0.812,39.1,60.4,0.000518,4.43,-8.104,"major",21.2,16.8,62,"hip",4,28
2012,13.5,74.7,71.6,0,25.1,-2.457,"minor",7.5,75.1,77,"hip",3,31
2020,29.5,80.3,71.5,0.0134,5.74,-3.28,"major",29.8,57.4,77,"hip",3,21
2010,8.69,38.1,68.3,0.164,16.8,-4.724,"major",16.2,16.8,56,"hip",3,56
2011,27.1,72.3,86,0.000456,59.8,-4.357,"major",20.3,66.7,82,"hip",3,20
2013,6.25,64.8,83.6,0.995,20.2,-3.394,"major",3.16,70.5,76,"hip",3,4
1970,53.3,53.1,59.3,0.00478,4.46,-9.2,"minor",3.82,64.7,40,"other",4,41
2010,43.5,68.1,59.3,0.0117,10.6,-9.327,"major",2.51,73.1,66,"other",4,10
2003,2.06,64.7,72.9,4.89,13.4,-6.251,"major",2.36,68.7,74,"other",4,10
2010,19.1,62.4,55.4,0.131,29.9,-8.113,"major",2.25,31.1,65,"other",4,30
2007,55.4,61,34.9,0.99,20.1,-9.321,"major",3.01,15.5,61,"other",4,6
2001,6.14,69.7,92.5,0,9.5,-4.209,"minor",21.6,67.8,59,"hip",4,56
1970,8.59,62.7,54.4,0,15.2,-11.436,"major",2.9,87.7,53,"pop",2,46
1963,50.1,40.2,79.5,0.0242,34.9,-10.709,"major",7.81,73.7,1,"other",2,32
1968,22.8,81.8,74.5,0.45,39.2,-6.052,"major",3.85,96.1,15,"other",2,24
2005,29,61.3,85.7,0,11.3,-4.46,"major",5.45,34.9,54,"country",3,37
2011,32.9,70.2,79.5,0,5.05,-4.764,"major",5.68,83.6,64,"country",4,8
2013,2.58,51.6,75.5,0,32.9,-8.868,"minor",35.1,63.3,56,"hip",3,8
1976,1.08,59.2,56.3,0,5.71,-15.245,"major",5.23,86,24,"other",4,48
1991,2.11,72.8,80.3,0.00118,2.67,-10.57,"minor",5.68,79.1,22,"other",5,0
1972,45.7,36.1,60.8,0.371,47.1,-9.031,"major",4.17,72.2,24,"soul",3,27
1986,37,66.5,88.6,0.0849,21.2,-10.864,"minor",3.14,96.5,10,"other",4,26
1973,0.596,26.7,72.2,89.3,35,-7.344,"major",10.2,34.7,53,"rock",6,43
1966,51.1,52.6,45.9,0,9.64,-8.925,"major",3.18,57.2,6,"pop",3,17
1962,85,41.6,35.3,0.0178,28.7,-9.482,"major",4,66.5,34,"soul",2,47
1972,76.8,30.9,41.5,0,34.5,-11.441,"minor",3.42,23.8,36,"pop",3,7
1975,84.5,60.5,44,0.00385,10.8,-16.641,"major",23,67.3,44,"classic",4,0
1969,81.8,65.3,37.6,33.6,12.2,-14.969,"major",3.57,85.5,3,"pop",2,40
1997,33,82.6,44.7,0.00032,12.6,-11.535,"major",4.42,43.4,41,"hip",4,37
1980,23.8,49.8,72.3,0,35.3,-8.053,"major",5,88.2,65,"rock",5,24
1965,78.6,52,41.1,0.12,14.6,-12.411,"major",3.15,35,36,"classic",3,28
1960,62.2,54.2,64.2,0,34.9,-9.082,"major",2.94,90.4,35,"classic",2,43
1993,16.1,56.5,56.4,0,11.4,-10.044,"major",2.92,45.4,82,"pop",4,56
1994,9.05,65.4,83.5,0,5.88,-6.522,"minor",6.56,96.5,29,"other",3,46
1980,11.3,57.1,57,0.244,6.6,-14.091,"major",4.7,81.4,58,"classic",3,16
1981,28.7,81.1,49.6,0.222,5.52,-9.505,"minor",7.27,57.6,27,"classic",3,28
1981,12.2,68.5,71.8,0,5.56,-7.724,"major",5.21,95.8,65,"classic",3,11
2009,0.9,72,67.2,0,23.2,-6.852,"major",5.51,70.5,82,"pop",3,25
2013,0.616,69.3,82.2,0.000179,31.5,-5.441,"minor",4.39,76.3,68,"pop",3,44
1973,89.1,48.8,37.8,0,10.1,-11.727,"major",3.01,75.3,20,"other",3,31
1970,59.8,32.5,33.6,0,28.2,-12.423,"major",3.46,65.7,29,"other",2,44
1983,3.99,79.1,71.3,0.00186,5.28,-10.183,"minor",3.34,96.2,44,"other",5,8
1985,32,63.9,74.5,0.011,5.9,-9.399,"minor",3.19,77.9,13,"other",3,51
1986,5.2,66.1,90.8,0,7.08,-4.897,"major",3.9,65.6,78,"rock",4,56
2001,23.4,64.7,81.8,0.00189,21.6,-3.47,"minor",6.47,81.6,51,"other",3,4
1974,27.4,63.4,68.9,0.000229,19.1,-10.452,"major",3.41,95.4,7,"classic",2,11
1990,2.12,47.5,80.6,0.174,7.14,-11.891,"major",4.81,96.2,38,"other",5,14
1990,0.362,62.5,72.7,0.0316,37.5,-11.289,"minor",4.82,78.9,42,"other",4,18
2000,0.21,59.2,76.7,0.165,12.7,-2.788,"minor",2.7,32.8,85,"rock",5,30
2006,1.93,55.6,91.3,0.000859,34.6,-2.36,"major",4.37,73,82,"rock",4,42
1978,35.7,65.6,56.5,0.0192,6.29,-8.722,"major",3.01,61.5,63,"pop",4,52
1979,73.4,50,55.4,0.000372,31.2,-8.108,"major",3.54,37.2,74,"pop",5,26
1998,6.65,65.6,47.9,0.272,16.8,-7.055,"minor",3.48,70.8,72,"pop",4,22
1998,9.98,89.5,49.5,0.00628,5.83,-7.186,"minor",17.8,59.3,36,"pop",3,34
