id,name
09xC3MewWz48F1OpYckXTZ,Jomanda
1Ov9t7KbQF0oz9B4JsMfV2,Ian Hunter
55Aa2cqylxrFIXC767Z865,Lil Wayne
2cADQgiLMjNhbsfeN52Bf3,Swizz Beatz
2ZqXK2gIDbfE7aOvkNObPW,Billie Myers
53I5L1MaOYGfbRM1uZ80xg,Terri Gibbs
1UjTUqWfGkof4L5HO5NmzP,Kenny Lattimore
6FBDaR13swtiWwGhX1WQsP,blink-182
31TPClRtHm23RisEBtV3X7,Justin Timberlake
4Js9eYwAf9rypNtV8pNSw9,Petey Pablo
3EhbVgyfGd7HkpsagwL9GS,Alice Cooper
05oH07COxkXKIMt6mIPRee,Brandy
2oX42qP5ineK3hrhBECLmj,Andy Grammer
6YROFUbu5zRCHi2xkir5pk,Brian Hyland
6GI52t8N5F02MxU0g5U69P,Santana
7d7q5Y1p2QWS4QRAhTQR5E,Anne Murray
2RTUTCvo6onsAnheUk3aL9,3 Doors Down
67ea9eGLXYMsO2eYQRui3w,The Who
6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne
2kucQ9jQwuD8jWdtR9Ef38,Sam Hunt
7eRORqxEbt7ftbaaWP0k5v,Tommy James
6bJUzb3mLEYCkTAp7eNJgO,Information Society
2JyxVsEiD9HVRM7CtFaLCK,Timi Yuro
4t52ndk0OkAxtb4vMDLPhe,Daryl Braithwaite
1iBpJEBrSFXCtPOc5OUZiY,Ed Ames
246dkjvS1zLTtiykXe5h60,Post Malone
4AcHt3JxKy59IX7JNNlZn4,Fitz and The Tantrums
01Ppu7N8uYJI8SAONo2YZA,Melissa Etheridge
5JZ7CnR6gTvEMKX4g70Amv,Lauv
7vCtweS8UVAXTyau2j0rDT,Josh Turner
7K78lVZ8XzkjfRSI7570FF,José Feliciano
4hKkEHkaqCsyxNxXEsszVH,John Travolta
4MVyzYMgTwdP7Z49wAZHx0,Lynyrd Skynyrd
6clbbhnIqpHnqxwtOWcilg,Little River Band
6deZN1bslXzeGvOLaLMOIF,Nickelback
3HQyFCFFfJO3KKBlUfZsyW,Randy Newman
4xFUf1FHVy696Q1JQZMTRj,Carrie Underwood
3plJVWt88EqjvtuB4ZDRV3,Ben E. King
10yNnmMFF3U0MW7oeG3bFr,France Joli
3klZnJvYGIbWritVwQD434,Duncan Laurence
09hVIj6vWgoCDtT03h8ZCa,A Tribe Called Quest
2DGyhsOLrggY3ORo3GZNf0,Trugoy The Dove
4MoAOfV4ROWofLG3a3hhBN,Jon Pardi
3FZn8Z2B7mfaSOU8NE62KR,David Ruffin
30q5mqJmdYPaKabPMytzvv,The Intruders
5jWuVnPLmjABrgCGianzs9,Brass Construction
04gDigrS5kc9YWfZHwBETP,Maroon 5
0NyzfcGDZZ6GM25EBG9BYK,Ray Parker Jr.
4N8BwYTEC6XqykGvXXlmfv,George Benson
